game_id,family,role,arm,rating_delta,rating_reward,context
rating-credit-live-like,negotiation,seller,v5_safe,2.0,0.622459,"[""seller"",""full"",1]"
4d84a6ae-131e-4dd5-a903-0023022a6226,bargaining,player_2,v4_safe,6.5,0.835484,"[""player_2"",""full"",2,1]"
c03c008e-9e1b-4ad0-904e-746ef83cefd0,bargaining,player_1,v25_heuristic,2.03,0.62422,"[""player_1"",""full"",2,1]"
c4a1f9b3-fa91-4aed-9fed-7609553673af,bargaining,player_1,v25_heuristic,1.27,0.578715,"[""player_1"",""hidden"",0,3]"
0d809cc8-8e69-46b0-815c-e91c7b543d61,bargaining,player_1,v25_heuristic,6.6,0.838891,"[""player_1"",""hidden"",2,3]"
fd1781bc-0dae-4ea3-8fab-3cc9071c3738,bargaining,player_2,v4_safe,-5.73,0.192709,"[""player_2"",""hidden"",2,1]"
6e247e32-47e5-4964-9ca4-894e978ad7c1,bargaining,player_1,v25_heuristic,0.08,0.505,"[""player_1"",""hidden"",2,2]"
eee56341-982d-4bed-884d-f86077f3c635,bargaining,player_2,v4_safe,-3.96,0.270912,"[""player_2"",""hidden"",0,2]"
62c03649-6f85-4534-a3ee-522e30a4808b,bargaining,player_1,v25_heuristic,-0.93,0.442135,"[""player_1"",""full"",0,1]"
8705c67c-9f7a-4c38-97db-18b77ee2a927,negotiation,seller,v25_heuristic,-3.91,0.273388,"[""seller"",""full"",0]"
be73e4dc-74d0-4cd1-80f8-7f81c8f11ff3,negotiation,buyer,v25_heuristic,3.97,0.729581,"[""buyer"",""hidden"",1]"
dd903f27-7d1a-4e2f-9ded-1218447e7a95,negotiation,seller,v25_heuristic,-2.87,0.327944,"[""seller"",""hidden"",0]"
339a239a-0520-466a-9ee3-529845796f35,negotiation,buyer,v25_heuristic,2.18,0.632975,"[""buyer"",""hidden"",1]"
f769370a-dcef-41d2-8e78-52fa57bcf06a,negotiation,seller,v25_heuristic,-4.1,0.264055,"[""seller"",""full"",0]"
33c2b0d1-1c2e-426d-b5f5-af91a73a0fcd,negotiation,buyer,v25_heuristic,-4.57,0.241862,"[""buyer"",""hidden"",0]"
