family,role,information,horizon_bucket,discount_bucket,n,sum,mean,sd,median,q10,q25,q75,q90,iqr,mad,minimum,maximum,positive,zero,negative,positive_rate,lag1_autocorrelation,max_drawdown,ending_drawdown,max_losing_streak
bargaining,player_1,full,0,1,4,-8.49,-2.1225,0.9129211356957401,-2.485,-2.6959999999999997,-2.6149999999999998,-1.9925,-1.2589999999999997,0.6224999999999998,0.17500000000000004,-2.75,-0.77,0,0,4,0.0,0.7606593842032168,8.49,8.49,4
bargaining,player_1,full,0,2,3,5.08,1.6933333333333334,5.18760381422226,-0.29,-1.826,-1.25,3.645,6.006,4.895,1.92,-2.21,7.58,1,0,2,0.3333333333333333,-1.0,2.21,0.29000000000000004,1
bargaining,player_1,full,0,3,2,4.98,2.49,5.713422791987305,2.49,-0.742,0.47,4.510000000000001,5.722,4.040000000000001,4.04,-1.55,6.53,1,0,1,0.5,,1.5499999999999998,1.5499999999999998,1
bargaining,player_1,full,2,1,11,-15.25,-1.3863636363636362,1.3773254715373031,-1.75,-2.59,-2.0,-1.02,-0.4,0.98,0.51,-3.35,1.97,1,0,10,0.09090909090909091,-0.09899641795780564,15.25,15.25,6
bargaining,player_1,full,2,2,3,-1.1300000000000001,-0.3766666666666667,1.193538157468513,0.21,-1.358,-0.77,0.31,0.37,1.08,0.19999999999999998,-1.75,0.41,2,0,1,0.6666666666666666,1.0,1.75,1.1300000000000001,1
bargaining,player_1,full,2,3,1,2.92,2.92,0.0,2.92,2.92,2.92,2.92,2.92,0.0,0.0,2.92,2.92,1,0,0,1.0,,0.0,0.0,0
bargaining,player_1,hidden,0,1,10,51.660000000000004,5.166,3.2496639142464496,5.455,1.2510000000000001,3.6149999999999998,7.992500000000001,8.385,4.377500000000001,2.47,-1.26,8.43,9,0,1,0.9,-0.02192406596536159,1.2599999999999998,0.0,1
bargaining,player_1,hidden,0,2,3,4.32,1.44,1.860188162525501,2.35,-0.08999999999999997,0.825,2.51,2.606,1.6849999999999998,0.31999999999999984,-0.7,2.67,2,0,1,0.6666666666666666,1.0,0.7000000000000002,0.7000000000000002,1
bargaining,player_1,hidden,0,3,6,0.9599999999999997,0.15999999999999995,3.198255774637169,0.14,-2.625,-0.72,0.2875,2.965,1.0074999999999998,0.625,-4.29,5.64,3,1,2,0.5,-0.6182458334211564,4.29,0.96,1
bargaining,player_1,hidden,2,1,11,26.7,2.4272727272727272,3.7631452029096377,4.14,-2.01,0.8,4.9399999999999995,5.3,4.14,0.9800000000000004,-5.71,5.55,8,0,3,0.7272727272727273,-0.05369721787450158,5.710000000000001,0.0,2
bargaining,player_1,hidden,2,2,2,0.45999999999999996,0.22999999999999998,8.428712831743647,0.22999999999999998,-4.538,-2.75,3.210000000000001,4.998000000000001,5.960000000000001,5.960000000000001,-5.73,6.19,1,0,1,0.5,,5.73,5.73,1
bargaining,player_1,hidden,2,3,8,7.940000000000001,0.9925000000000002,4.275901742824046,1.0,-3.647,-2.3,3.5425,5.1819999999999995,5.842499999999999,2.91,-4.27,8.22,4,0,4,0.5,0.17541046828915655,5.32,5.01,2
bargaining,player_2,full,0,1,14,16.9,1.207142857142857,4.585997800280308,1.6,-4.218999999999999,-2.8600000000000003,5.76,6.891000000000001,8.620000000000001,4.545,-5.04,7.71,8,0,6,0.5714285714285714,-0.4993150290038685,6.659999999999999,3.539999999999999,2
bargaining,player_2,full,0,2,10,21.34,2.134,4.3099141522772815,0.31,-2.115,-1.2525,6.5625,7.411,7.8149999999999995,2.645,-2.61,8.05,5,0,5,0.5,-0.39696687292580174,2.6099999999999994,2.0599999999999987,2
bargaining,player_2,full,0,3,8,21.34,2.6675,5.109022131764272,3.03,-2.7920000000000003,-2.6975,7.5600000000000005,8.136000000000001,10.2575,5.110000000000001,-2.96,8.15,5,0,3,0.625,-0.018506331275582835,5.65,0.0,2
bargaining,player_2,full,2,1,7,-10.34,-1.477142857142857,4.127689887760926,-2.27,-5.47,-4.1899999999999995,-0.26499999999999996,2.6920000000000024,3.9249999999999994,2.43,-5.65,6.49,2,0,5,0.2857142857142857,-0.16747295198337747,14.03,10.339999999999998,3
bargaining,player_2,full,2,2,7,5.31,0.7585714285714286,5.028884662863223,-1.2,-3.9539999999999997,-2.39,4.455,7.2700000000000005,6.845000000000001,3.2,-5.43,7.81,3,0,4,0.42857142857142855,-0.6027940179771397,6.63,0.0,2
bargaining,player_2,full,2,3,6,10.53,1.755,4.826836438082401,0.19499999999999998,-2.675,-1.9774999999999998,5.8774999999999995,7.744999999999999,7.8549999999999995,2.8699999999999997,-2.82,7.89,3,0,3,0.5,-0.23831051022792205,5.35,0.0,2
bargaining,player_2,hidden,0,1,9,14.870000000000001,1.6522222222222223,4.865459325124858,1.54,-4.054,-1.73,7.21,7.298,8.94,5.5,-4.43,7.61,5,0,4,0.5555555555555556,-0.7668710820228326,4.619999999999999,0.9900000000000002,1
bargaining,player_2,hidden,0,2,3,-11.700000000000001,-3.9000000000000004,1.7087129659483482,-4.79,-4.942,-4.885,-3.36,-2.502,1.525,0.1900000000000004,-4.98,-1.93,0,0,3,0.0,-1.0000000000000002,11.7,11.7,3
