display_order,date,time,role,opponent_type,outcome,rounded_rating_delta
1,2026-08-25,10:14,Bob,agent,Agreement,-1.7
2,2026-08-25,10:14,Alice,agent,Agreement,-2.7
3,2026-08-25,10:13,Bob,agent,Agreement,7.9
4,2026-08-25,10:13,Alice,agent,Agreement,1.1
5,2026-08-25,10:13,Bob,agent,Agreement,-4.0
6,2026-08-25,10:12,Bob,agent,Agreement,7.6
7,2026-08-25,10:12,Bob,agent,Agreement,4.2
8,2026-08-25,10:12,Bob,agent,Agreement,5.7
9,2026-08-25,10:12,Bob,agent,Agreement,-3.7
10,2026-08-25,10:11,Alice,agent,Agreement,-5.2
11,2026-08-25,10:10,Bob,agent,Agreement,-3.9
12,2026-08-25,10:10,Alice,agent,Agreement,2.0
13,2026-08-25,10:10,Bob,agent,Agreement,8.9
14,2026-08-25,10:10,Bob,agent,Agreement,8.6
15,2026-08-25,10:09,Alice,agent,Agreement,-0.1
16,2026-08-25,10:09,Alice,agent,Agreement,-4.2
17,2026-08-25,10:08,Alice,agent,Agreement,9.3
18,2026-08-25,10:08,Alice,agent,Agreement,4.6
19,2026-08-25,10:08,Bob,agent,Agreement,-5.2
20,2026-08-25,10:07,Bob,agent,Agreement,10.4
21,2026-08-25,10:06,Bob,agent,Agreement,9.7
22,2026-08-25,10:06,Bob,agent,Agreement,10.2
23,2026-08-25,10:06,Bob,agent,Agreement,-3.0
24,2026-08-25,10:06,Bob,agent,Agreement,-4.6
25,2026-08-25,10:06,Alice,agent,Agreement,-5.7
