"visible_order","role","outcome","rounded_rating_change"
"1","buyer","agreement","-3.3"
"2","seller","agreement","-3.4"
"3","seller","agreement","4.7"
"4","buyer","agreement","-3.3"
"5","seller","agreement","4.9"
"6","buyer","agreement","-1.6"
"7","buyer","agreement","-4.0"
"8","buyer","agreement","-4.0"
"9","seller","agreement","7.9"
"10","buyer","agreement","8.0"
"11","seller","agreement","-1.8"
"12","buyer","agreement","4.5"
"13","buyer","agreement","-0.8"
"14","buyer","walkaway","3.8"
"15","buyer","walkaway","1.9"
"16","buyer","agreement","6.7"
"17","buyer","no_deal","0.1"
"18","seller","agreement","-4.6"
"19","seller","walkaway","3.1"
"20","buyer","agreement","6.0"
"21","seller","agreement","7.1"
"22","seller","no_deal","1.0"
"23","seller","agreement","-1.9"
"24","buyer","agreement","5.4"
"25","seller","no_deal","3.6"
"26","seller","agreement","-2.9"
"27","buyer","walkaway","4.5"
"28","buyer","agreement","6.1"
"29","buyer","agreement","9.0"
"30","seller","agreement","7.2"
"31","buyer","agreement","6.3"
"32","seller","agreement","9.1"
"33","seller","agreement","5.8"
"34","buyer","agreement","-1.0"
"35","seller","agreement","6.0"
"36","buyer","no_deal","-0.9"
"37","seller","no_deal","1.1"
"38","seller","no_deal","-4.4"
"39","seller","walkaway","5.0"
"40","buyer","walkaway","-0.6"
"41","buyer","walkaway","-0.2"
"42","seller","agreement","-4.5"
"43","buyer","walkaway","-0.9"
"44","seller","walkaway","2.1"
"45","buyer","agreement","-5.0"
"46","buyer","walkaway","0.5"
"47","buyer","agreement","-1.6"
"48","buyer","no_deal","1.5"
"49","buyer","agreement","-3.0"
"50","seller","agreement","-3.8"
"51","seller","agreement","8.8"
"52","seller","no_deal","5.3"
"53","buyer","agreement","-3.2"
"54","seller","agreement","9.8"
"55","seller","no_deal","5.5"
