family,information,horizon_bucket,n,sum,mean,sd,median,q10,q25,q75,q90,iqr,mad,minimum,maximum,positive,zero,negative,positive_rate,sign_test_p,naive_ci_low,naive_ci_high,lag1_autocorrelation,max_drawdown,ending_drawdown,max_losing_streak
bargaining,full,0,41,61.15,1.4914634146341463,4.424225672914758,-0.29,-2.96,-2.47,6.17,7.58,8.64,2.46,-5.04,8.15,20,0,21,0.4878048780487805,1.0,0.1372053997389815,2.845721429529311,-0.12505063043269143,9.059999999999999,0.0,3
bargaining,full,2,35,-7.96,-0.22742857142857142,3.6715987404568557,-1.24,-3.222,-2.4,0.5599999999999999,6.742000000000001,2.96,1.45,-5.65,7.89,12,0,23,0.34285714285714286,0.0895310789346695,-1.443830951912537,0.9889738090553942,-0.0005094505743045607,24.180000000000003,7.960000000000004,6
bargaining,hidden,0,35,56.15,1.6042857142857143,4.509430827338925,1.53,-4.374,-1.645,5.73,7.718,7.375,3.5599999999999996,-6.33,8.43,20,1,14,0.5714285714285714,0.39152830513194203,0.11030917143497887,3.09826225713645,0.16557541796599834,14.0,6.329999999999998,3
bargaining,hidden,2,39,81.6,2.0923076923076924,4.54989037550904,3.24,-4.422,-1.79,5.425,7.5200000000000005,7.215,3.99,-5.92,8.22,24,0,15,0.6153846153846154,0.19959086691960692,0.6643192224499299,3.520296162165455,0.2911170981176765,11.010000000000005,1.4000000000000057,3
persuasion,,,11,-2.0700000000000003,-0.1881818181818182,2.960590543056632,-0.45,-2.9,-2.59,0.32999999999999996,4.23,2.92,2.02,-2.94,6.06,3,0,8,0.2727272727272727,0.2265625,-1.9377790235290024,1.561415387165366,-0.37959070035775755,5.84,5.18,2
persuasion,,,25,16.419999999999998,0.6567999999999999,4.0885487645373635,-0.27,-4.1739999999999995,-3.14,4.88,6.590000000000002,8.02,3.56,-4.47,7.17,12,0,13,0.48,1.0,-0.9459111156986465,2.2595111156986465,-0.11037687838100856,13.71,7.800000000000001,4
persuasion,,,15,-3.93,-0.262,4.030820901858224,-1.09,-4.376,-2.86,0.32999999999999996,6.319999999999999,3.19,1.5999999999999999,-5.47,7.75,5,0,10,0.3333333333333333,0.3017578125,-2.3018768239937106,1.7778768239937106,-0.2084341567450655,13.73,13.73,3
persuasion,,,27,45.25,1.6759259259259258,3.9659893122739533,0.79,-2.522,-0.71,5.119999999999999,6.714000000000003,5.829999999999999,2.92,-6.77,7.8,18,0,9,0.6666666666666666,0.12207812070846558,0.17994612785682285,3.171905723995029,-0.2955170678729615,8.329999999999998,8.329999999999998,3
negotiation,full,0,6,-22.87,-3.8116666666666665,1.950706709545714,-3.8,-5.8149999999999995,-5.17,-3.2175000000000002,-1.82,1.9524999999999997,1.2850000000000001,-6.02,-0.6,0,0,6,0.0,0.03125,-5.37255711822878,-2.250776215104553,-0.03601508446737012,22.869999999999997,22.869999999999997,6
negotiation,full,1,2,-10.36,-5.18,0.3959797974644663,-5.18,-5.404,-5.32,-5.04,-4.956,0.28000000000000025,0.2799999999999998,-5.46,-4.9,0,0,2,0.0,0.5,-5.7288,-4.6312,,10.36,10.36,2
negotiation,hidden,0,10,-1.5000000000000002,-0.15000000000000002,3.769579994287604,1.08,-4.8020000000000005,-3.5325,3.2275,3.71,6.76,2.79,-5.81,4.07,6,0,4,0.6,0.75390625,-2.486409886414054,2.186409886414054,0.031137152482974877,11.46,3.5300000000000002,2
negotiation,hidden,1,2,1.0,0.5,4.652762620207483,0.5,-2.132,-1.145,2.1450000000000005,3.1320000000000006,3.2900000000000005,3.29,-2.79,3.79,1,0,1,0.5,1.0,-5.9484,6.9484,,2.79,2.79,1
