game_id,family,role,arm,information,context,rating_delta,rating_reward
9d78e63e-9346-4426-82b9-fc783f487d6c,bargaining,player_2,v4_safe,hidden,"[""player_2"",""hidden"",0,3]",1.85,0.613607
03a2265b-3653-4472-b509-f0930dd08e13,bargaining,player_1,v23_heuristic,hidden,"[""player_1"",""hidden"",0,2]",-3.34,0.302589
c816b816-9c8d-4c17-b63a-8dbe2590cad4,bargaining,player_2,v4_safe,hidden,"[""player_2"",""hidden"",0,1]",5.13,0.782875
35e67ebc-7dab-42f1-8f37-f564882c94cf,bargaining,player_2,v4_safe,full,"[""player_2"",""full"",2,1]",-3.69,0.284449
84e4caf2-dfb1-45a9-87a6-f0ba79d95ec4,bargaining,player_1,v23_heuristic,hidden,"[""player_1"",""hidden"",2,1]",0.74,0.546119
5e3abacd-4cbb-4bb7-b286-ff6e5e47dae8,bargaining,player_1,v23_heuristic,full,"[""player_1"",""full"",2,2]",-5.26,0.211651
8c194029-6740-4829-9729-1700a363db46,bargaining,player_2,v4_safe,hidden,"[""player_2"",""hidden"",2,3]",-4.98,0.223567
afde4e7b-fbc7-4745-a709-3fbe429c4240,bargaining,player_1,v23_heuristic,full,"[""player_1"",""full"",2,3]",-1.77,0.391145
e8d2a872-c96e-47a9-9346-fb313b4ca5e5,bargaining,player_2,v4_safe,hidden,"[""player_2"",""hidden"",2,1]",5.75,0.808067
f0a2f567-194c-49bd-93a2-a1bef0c4df87,bargaining,player_2,v4_safe,full,"[""player_2"",""full"",0,1]",-1.76,0.391741
54f205da-6d73-41fb-9595-01251f336503,bargaining,player_1,v23_heuristic,full,"[""player_1"",""full"",0,2]",-5.50,0.201813
3a269221-f470-44bf-ba8f-620e2349564b,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",8.30,0.888449
39de7f0b-36dc-4bd9-b147-55b9f2cf36eb,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",4.83,0.769856
9ccbbea6-041b-410b-a6f1-ec2d775341c9,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",3.81,0.721618
8a17c3b5-91c8-4a1e-86f2-cfa2822f9f0b,negotiation,seller,v23_heuristic,full,"[""seller"",""full"",1]",7.74,0.873802
2cb0b0ac-5968-4606-9a28-33d150fb5c92,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",1]",2.98,0.678088
2d41d3a2-ad89-462e-b355-4274381e7738,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",6.07,0.820170
4af7d9cb-6c96-4eda-a930-150734ddacd5,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",1]",8.29,0.888201
65c37798-7d0a-4942-bfa5-48d42e0d65e8,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",1.10,0.568320
7f51d009-e8af-41ff-884d-48e9f9e34319,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",1.09,0.567707
aab38cc9-ff75-4ea8-b854-b329b52132ed,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",8.16,0.884933
4ebe9604-4cfb-46ba-8877-e6e665d5a988,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",4.57,0.758138
bf999b9c-7f39-46d3-a30d-42461af72679,negotiation,seller,v23_heuristic,full,"[""seller"",""full"",0]",-4.70,0.235952
b53c7a32-31db-481b-9e0a-72b975f448d3,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",4.64,0.761333
5498c512-22e8-4f48-9d05-4b7e1ce84ff3,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",4.92,0.773819
d84b6548-4376-4250-bd20-42f30cfaac8c,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",1.06,0.565865
0a88058c-391a-4946-b8cd-548529fcedea,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",5.97,0.816453
38f917ea-e3a0-4ae8-8da9-dafe41dad209,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",5.02,0.778164
6f03ffd9-32fe-4108-879b-d02b8000983f,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",1.04,0.564636
336bfb59-6db3-4d03-bb3f-154cc078ed2c,negotiation,seller,v23_heuristic,full,"[""seller"",""full"",0]",5.74,0.807679
fa88ec5c-9573-4304-81e3-91827a07704e,negotiation,seller,v23_heuristic,full,"[""seller"",""full"",1]",-5.39,0.206279
c80e087e-55c9-46f9-8f07-1a705c799ab3,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",1]",2.08,0.627148
0a3e63c1-87c2-4848-8b64-166a0ae7b7ad,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",3.19,0.689439
ceb8b024-d256-44a7-a946-09f0ee2991ac,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",1.03,0.564022
fb9af8d1-a7ea-44ae-83ce-54818db61cd6,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",-5.28,0.210818
7eba5731-4147-42ab-bd58-d26999b4897c,negotiation,seller,v23_heuristic,full,"[""seller"",""full"",1]",7.60,0.869892
00501766-4d93-47a1-aecf-ae558ba7f6f8,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",1.02,0.563407
29da83b8-42b6-405f-843a-99c4f025876a,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",3.46,0.703704
457c26ba-c090-4d02-beab-cecd88e6df92,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",3.40,0.700567
6fe5e504-26fb-44db-a66f-61bcad6ad919,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",1.00,0.562177
f4b39d02-9e78-4f07-9c36-37633a207589,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",5.40,0.794130
7e97f912-8639-4acf-92f3-33392ba70404,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",1]",7.20,0.858149
813db2bf-4863-41ab-a8b5-747c2b6ca403,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",0.62,0.538673
ba361f2a-dc74-49c1-a7aa-f19a1ffe5f11,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",3.36,0.698465
2907786c-825b-4e85-8fa1-fe378207cb1c,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",1]",-3.22,0.308957
c301a663-f78f-43c4-b080-aeb4877b0b10,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",0.98,0.560945
54a3a3f0-8afa-4a1d-95e3-c15950d1fb82,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",8.20,0.885948
c40b91e3-7ab3-4fc9-9489-1ea07619a173,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",0]",0.96,0.559714
d7784937-e432-4136-bcbd-ff2499707ac6,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",1]",6.22,0.825635
01ff372a-1778-4db5-9947-098c62822acb,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",3.10,0.684602
986b6d94-7761-4c64-8129-6fa1c5e2e51f,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",3.49,0.705266
bf8c01ab-1b92-4c54-a06c-59d0d1336793,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",1]",5.66,0.804553
5fc352dd-20cc-4318-b60f-592adaeab498,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",4.51,0.755377
14832e43-c3fa-45fe-b5d1-18ef67304f02,negotiation,seller,v23_heuristic,hidden,"[""seller"",""hidden"",1]",6.60,0.838891
3ad62ea2-91a3-42a1-a580-e4efd023fd81,negotiation,seller,v23_heuristic,full,"[""seller"",""full"",0]",6.96,0.850687
9bf41cd2-25ca-4458-a555-563f162122dd,negotiation,buyer,v23_heuristic,full,"[""buyer"",""full"",0]",5.72,0.806901
ed925b3c-0188-490b-be86-52d65b643f16,negotiation,buyer,v23_heuristic,hidden,"[""buyer"",""hidden"",0]",2.39,0.645084
