display_order,role,outcome,rounded_rating_change
1,buyer,completed,-6.8
2,buyer,completed,6.6
3,seller,completed,-6.4
4,seller,completed,-0.5
5,buyer,completed,-5.7
6,seller,completed,6.1
7,buyer,completed,2.1
8,seller,completed,5.3
9,buyer,completed,-3.9
10,buyer,completed,3.3
11,buyer,completed,-6.0
12,buyer,completed,2.2
13,buyer,completed,3.5
14,buyer,completed,1.3
15,seller,completed,-1.7
16,buyer,completed,-1.0
17,seller,completed,-5.4
18,buyer,completed,-5.1
19,seller,completed,-6.0
20,buyer,completed,-0.8
21,seller,completed,-1.9
22,seller,completed,-0.1
23,seller,completed,-5.6
24,buyer,completed,5.0
25,seller,completed,-1.1
26,seller,completed,-2.6
27,buyer,completed,2.8
28,buyer,completed,-5.4
29,buyer,completed,1.4
30,seller,completed,-2.2
31,seller,completed,6.8
32,buyer,completed,-3.9
33,buyer,completed,7.3
34,buyer,completed,-0.4
35,buyer,completed,3.8
